,Min box,Medians,Max box,Min caps,Max caps,Outlier_0,Outlier_1,Outlier_2
Depth 1,359.14,401.66,446.79,287.71,502.24,179.71,596.67,
Depth 2 (Baseline),308.97,377.63,441.0,208.43,635.92,,,
Depth 3,278.9,359.62,435.54,203.97,620.47,,,
Depth 4,331.05,423.71,456.23,222.16,567.02,,,
Depth 5,360.11,440.28,469.64,236.08,515.95,683.67,663.7,
-30% depth 1,337.58,389.14,427.48,215.61,504.24,200.7,602.21,579.27
-30% depth 2,293.01,340.38,428.32,152.27,496.49,,,
-30% depth 3,294.92,421.56,453.11,187.46,560.46,,,
-30% depth 4,337.01,391.1,449.79,226.54,509.41,,,
-30% depth 5,365.25,440.26,463.54,244.64,604.02,621.2,,
+30% depth 1,323.76,380.94,440.46,203.15,477.35,,,
+30% depth 2,330.29,406.58,425.91,231.84,505.08,,,
+30% depth 3,281.13,403.4,436.5,212.33,502.34,,,
+30% depth 4,298.3,395.1,480.2,227.81,530.02,,,
+30% depth 5,302.46,432.89,464.81,249.69,523.81,,,
+100% depth 1,296.74,343.04,398.65,214.18,481.5,,,
+100% depth 2,346.66,393.85,430.65,226.98,478.71,,,
+100% depth 3,307.83,362.65,439.8,217.15,496.32,,,
+100% depth 4,338.65,412.34,466.34,190.0,526.57,,,
+100% depth 5,346.1,429.64,462.7,236.32,529.56,,,
+200% depth 1,295.11,338.5,404.0,211.98,476.24,,,
+200% depth 2,318.61,380.54,417.21,237.56,501.3,852.52,,
+200% depth 3,303.83,398.91,443.99,202.44,569.25,,,
+200% depth 4,360.6,415.39,462.15,273.63,517.73,661.95,627.9,785.6
+200% depth 5,359.01,437.67,482.31,234.21,601.71,709.02,818.13,
