,Min box,Medians,Max box,Min caps,Max caps,Outlier_0,Outlier_1,Outlier_2,Outlier_3,Outlier_4,Outlier_5
"0.001, 0",452.72,471.21,500.42,431.41,535.66,,,,,,
"0.001, 0.7",450.18,475.86,484.94,401.94,529.11,540.3,,,,,
"0.001, 0.8",450.64,470.04,484.41,417.17,532.51,566.35,557.14,536.95,,,
"0.001, 0.9",435.64,459.97,486.81,390.39,542.77,356.84,254.95,289.97,572.29,,
"0.001, 0.95",367.97,438.36,477.3,217.0,525.74,203.8,,,,,
"0.001, 0.99",381.47,419.39,455.55,287.54,520.63,218.82,255.39,,,,
"0.005, 0",453.57,471.65,490.06,403.94,523.49,384.87,280.41,546.41,,,
"0.005, 0.7",451.96,470.44,483.95,433.51,511.81,393.9,369.18,589.64,573.81,,
"0.005, 0.8",397.72,456.82,478.11,337.55,594.59,238.74,,,,,
"0.005, 0.9",398.7,455.16,478.62,311.97,532.04,265.27,275.04,,,,
"0.005, 0.95",423.95,462.76,480.02,358.06,561.83,328.78,278.77,293.9,266.2,,
"0.005, 0.99",163.78,168.35,176.22,151.39,190.63,219.72,206.84,,,,
"0.01, 0",415.05,441.2,474.18,346.46,537.8,314.36,584.4,,,,
"0.01, 0.7",384.55,454.12,478.99,280.53,541.11,,,,,,
"0.01, 0.8",375.23,456.6,473.79,264.36,567.83,,,,,,
"0.01, 0.9 BL",342.99,415.78,462.96,238.15,543.77,,,,,,
"0.01, 0.95",244.07,307.44,359.49,175.66,458.27,,,,,,
"0.01, 0.99",151.97,155.45,160.77,142.57,164.71,282.32,196.83,174.34,183.2,181.44,178.9
"0.015, 0",417.46,452.51,475.24,340.93,536.91,315.65,309.6,,,,
"0.015, 0.7",393.98,463.45,493.84,259.77,555.17,,,,,,
"0.015, 0.8",374.73,455.19,476.95,237.45,565.48,,,,,,
"0.015, 0.9",283.5,340.46,420.09,192.08,524.62,,,,,,
"0.015, 0.95",206.33,227.09,254.88,168.21,297.98,,,,,,
"0.015, 0.99",157.74,172.87,209.87,140.66,254.25,,,,,,
"0.02, 0",412.01,435.18,470.17,340.87,515.66,279.74,283.57,250.01,324.28,573.96,
"0.02, 0.7",389.36,460.11,479.84,290.37,592.81,,,,,,
"0.02, 0.8",292.71,440.0,477.05,229.44,623.79,,,,,,
"0.02, 0.9",239.56,322.19,380.79,178.28,478.27,,,,,,
"0.02, 0.95",180.36,190.55,204.35,157.23,230.44,,,,,,
"0.02, 0.99",184.46,203.75,230.42,151.21,264.16,340.24,392.05,,,,
